Model,Year,Status,Mileage,Price,MSRP
2022 Acura TLX A-Spec,2022,New,Not available,$49.45_),MSRP $49.445
2023 Acura RDX A-Spec,2023,New,Not available,$50.90_),Not specified
2023 Acura TLX Type S,2023,New,Not available,$57.74_),Not specified
2023 Acura TLX Type S,2023,New,Not available,$57.55_),Not specified
2019 Acura MDX Sport Hybrid 3.0L w/Technology Package,2019,Used,32.6750 mi.,$40.99_),$600 price drop
2023 Acura TLX A-Spec,2023,New,Not available,$50.20_),MSRP $50.195
2023 Acura TLX A-Spec,2023,New,Not available,$50.20_),MSRP $50.195
2023 Acura TLX Type S,2023,New,Not available,$57.74_),Not specified
2023 Acura TLX A-Spec,2023,New,Not available,$47.99_),Not specified
2022 Acura TLX A-Spec,2022,New,Not available,$49.55_),Not specified
2023 Acura Integra w/A-Spec Tech Package,2023,New,Not available,$36.90_),MSRP $36.895
2023 Acura TLX A-Spec,2023,New,Not available,$48.40_),MSRP $48.395
2023 Acura MDX Type S w/Advance Package,2023,New,Not available,$75.59_),Not specified
2023 Acura RDX A-Spec Advance,2023,New,Not available,$55.34_),Not specified
2023 Acura TLX A-Spec,2023,New,Not available,$50.20_),MSRP $50.195
2023 Acura RDX A-Spec Advance,2023,New,Not available,$55.05_),Not specified
2023 Acura TLX Type S,2023,New,Not available,$56.45_),Not specified
2023 Acura TLX A-Spec,2023,New,Not available,$47.49_),MSRP $47.495
2023 Acura TLX Advance,2023,New,Not available,$52.24_),MSRP $52.245
2023 Acura TLX A-Spec,2023,New,Not available,$50.59_),MSRP $50.595
2023 Acura RDX Base,2023,New,Not available,$43.05_),Not specified
2023 Acura RDX A-Spec,2023,New,Not available,$51.20_),Not specified
2023 Acura RDX A-Spec,2023,New,Not available,$50.90_),Not specified
2023 Acura TLX A-Spec,2023,New,Not available,$50.20_),MSRP $50.195
2023 Acura RDX A-Spec,2023,New,Not available,$50.90_),Not specified
2022 Acura MDX Type S,2022,New,Not available,$68.25_),Not specified
2023 Acura RDX A-Spec,2023,New,Not available,$50.90_),Not specified
2023 Acura TLX Type S,2023,New,Not available,$57.64_),Not specified
2023 Acura TLX A-Spec,2023,New,Not available,$47.99_),Not specified
2023 Acura TLX Type S,2023,New,Not available,$57.74_),Not specified
2023 Acura TLX A-Spec,2023,New,Not available,$48.40_),MSRP $48.395
